"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N","P3_009N","P3_010N","P3_011N","P3_012N","P3_013N","P3_014N","P3_015N","P3_016N","P3_017N","P3_018N","P3_019N","P3_020N","P3_021N","P3_022N","P3_023N","P3_024N","P3_025N","P3_026N","P3_027N","P3_028N","P3_029N","P3_030N","P3_031N","P3_032N","P3_033N","P3_034N","P3_035N","P3_036N","P3_037N","P3_038N","P3_039N","P3_040N","P3_041N","P3_042N","P3_043N","P3_044N","P3_045N","P3_046N","P3_047N","P3_048N","P3_049N","P3_050N","P3_051N","P3_052N","P3_053N","P3_054N","P3_055N","P3_056N","P3_057N","P3_058N","P3_059N","P3_060N","P3_061N","P3_062N","P3_063N","P3_064N","P3_065N","P3_066N","P3_067N","P3_068N","P3_069N","P3_070N","P3_071N"
"0500000US21025","Breathitt County, Kentucky","10673","10268","10181","41","3","27","3","13","405","237","17","134","20","0","59","4","1","0","0","0","0","1","0","1","0","164","8","0","0","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21027","Breckinridge County, Kentucky","15711","15120","14633","341","40","30","0","76","591","569","56","346","12","0","146","6","1","0","0","0","0","2","0","0","0","14","12","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","7","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"0500000US21029","Bullitt County, Kentucky","63008","60286","58554","722","165","346","16","483","2722","2634","186","1287","184","11","899","7","2","0","22","1","0","16","7","12","0","81","30","0","0","4","15","0","17","3","6","1","0","0","3","0","0","0","0","2","0","0","7","2","0","0","1","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21031","Butler County, Kentucky","9377","9104","8823","15","32","19","3","212","273","246","25","154","6","0","56","5","0","0","0","0","0","0","0","0","0","26","17","2","0","4","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21033","Caldwell County, Kentucky","9903","9544","8908","520","23","43","2","48","359","341","48","175","10","10","92","3","1","0","2","0","0","0","0","0","0","16","0","0","0","1","7","2","3","1","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21035","Calloway County, Kentucky","30297","28885","26989","1094","60","354","9","379","1412","1334","190","579","102","6","427","13","0","0","11","0","0","2","4","0","0","71","35","3","0","10","1","0","3","3","9","0","0","0","3","0","0","0","0","2","0","2","4","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3"
"0500000US21037","Campbell County, Kentucky","73538","70755","66903","2108","156","836","23","729","2783","2700","341","1114","218","23","865","26","3","0","31","0","0","8","68","3","0","73","33","8","0","8","5","0","16","0","0","0","0","0","1","1","0","0","0","0","0","1","7","2","0","2","3","0","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0"
"0500000US21039","Carlisle County, Kentucky","3720","3602","3520","48","15","10","0","9","118","106","11","59","1","2","21","1","0","8","0","0","0","0","2","1","0","7","2","1","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21041","Carroll County, Kentucky","8104","7732","7327","139","40","34","4","188","372","359","35","105","14","0","193","2","5","0","2","0","0","0","0","0","3","13","5","0","0","0","3","0","0","0","1","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21043","Carter County, Kentucky","20774","20321","19976","198","51","43","1","52","453","436","23","317","15","2","66","7","0","0","3","0","0","0","1","0","2","17","7","0","6","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21045","Casey County, Kentucky","12064","11798","11457","64","48","38","1","190","266","250","25","136","2","1","78","1","0","0","6","0","0","1","0","0","0","11","9","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0"
"0500000US21047","Christian County, Kentucky","53678","50871","36999","11100","305","766","151","1550","2807","2622","573","739","186","31","871","77","22","0","85","0","0","1","21","15","1","170","78","9","0","13","7","0","26","16","8","0","1","0","7","5","0","0","0","0","0","0","15","5","1","1","0","1","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21049","Clark County, Kentucky","28694","27660","25744","1251","78","134","16","437","1034","988","120","429","55","7","365","0","6","0","3","0","0","2","0","1","0","43","15","1","3","3","0","0","17","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0"
