DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23,CVDID
2.0,1.0,2.0,1.0,38.0,25.0,2.0,2.0,4.0,7.0,311.0
2.0,1.0,2.0,2.0,10.0,23.0,1.0,2.0,4.0,5.0,312.0
2.0,1.0,2.0,2.0,30.0,56.0,2.0,2.0,5.0,2.0,313.0
2.0,1.0,3.0,4.0,40.0,35.0,2.0,2.0,5.0,4.0,314.0
2.0,1.0,2.0,3.0,22.0,38.0,2.0,2.0,5.0,5.0,316.0
2.0,1.0,3.0,3.0,9.0,48.0,2.0,1.0,6.0,5.0,317.0
2.0,1.0,2.0,1.0,25.0,47.0,2.0,2.0,5.0,5.0,318.0
1.0,1.0,3.0,4.0,22.0,25.0,2.0,2.0,2.0,5.0,319.0
2.0,1.0,2.0,2.0,35.0,33.0,2.0,2.0,5.0,5.0,321.0
2.0,1.0,2.0,2.0,11.0,20.0,2.0,2.0,6.0,2.0,322.0
2.0,1.0,2.0,2.0,5.0,30.0,2.0,2.0,5.0,3.0,323.0
2.0,1.0,3.0,4.0,32.0,29.0,2.0,2.0,4.0,3.0,325.0
1.0,1.0,2.0,1.0,5.0,30.0,2.0,2.0,5.0,3.0,327.0
2.0,7.0,3.0,4.0,49.0,20.0,2.0,2.0,5.0,3.0,328.0
2.0,1.0,2.0,2.0,33.0,52.0,2.0,2.0,5.0,5.0,332.0
2.0,1.0,2.0,3.0,39.0,23.0,1.0,1.0,5.0,5.0,336.0
2.0,1.0,1.0,6.0,32.0,28.0,1.0,2.0,5.0,2.0,338.0
2.0,1.0,3.0,5.0,12.0,24.0,1.0,2.0,5.0,3.0,340.0
2.0,1.0,2.0,2.0,5.0,21.0,2.0,2.0,2.0,5.0,341.0
2.0,1.0,4.0,4.0,16.0,58.0,1.0,2.0,5.0,2.0,342.0
2.0,1.0,1.0,4.0,9.0,63.0,2.0,2.0,5.0,2.0,343.0
2.0,1.0,2.0,3.0,5.0,25.0,1.0,2.0,6.0,3.0,345.0
3.0,3.0,2.0,1.0,49.0,55.0,2.0,2.0,5.0,3.0,349.0
1.0,2.0,2.0,2.0,28.0,28.0,1.0,2.0,5.0,4.0,353.0
2.0,1.0,2.0,3.0,22.0,30.0,2.0,2.0,4.0,5.0,354.0
1.0,1.0,3.0,2.0,32.0,49.0,2.0,2.0,5.0,3.0,355.0
1.0,2.0,2.0,2.0,43.0,48.0,1.0,2.0,4.0,5.0,356.0
2.0,1.0,3.0,2.0,32.0,60.0,2.0,2.0,5.0,6.0,358.0
1.0,2.0,2.0,4.0,13.0,62.0,2.0,2.0,5.0,3.0,359.0
2.0,1.0,2.0,1.0,32.0,20.0,2.0,2.0,5.0,3.0,361.0
1.0,1.0,3.0,3.0,28.0,33.0,1.0,2.0,5.0,5.0,364.0
2.0,1.0,3.0,7.0,9.0,49.0,1.0,2.0,5.0,4.0,365.0
2.0,1.0,2.0,3.0,5.0,41.0,2.0,2.0,5.0,5.0,366.0
2.0,1.0,2.0,1.0,17.0,48.0,2.0,2.0,5.0,5.0,367.0
1.0,3.0,3.0,1.0,19.0,34.0,1.0,2.0,5.0,5.0,368.0
2.0,1.0,3.0,1.0,42.0,24.0,1.0,2.0,5.0,6.0,370.0
3.0,2.0,2.0,1.0,22.0,68.0,2.0,2.0,5.0,3.0,371.0
2.0,1.0,1.0,1.0,37.0,21.0,2.0,1.0,5.0,3.0,372.0
2.0,1.0,2.0,2.0,43.0,26.0,2.0,2.0,5.0,7.0,374.0
2.0,1.0,3.0,4.0,46.0,45.0,1.0,2.0,4.0,4.0,376.0
2.0,1.0,1.0,6.0,6.0,55.0,2.0,2.0,5.0,3.0,383.0
2.0,1.0,2.0,3.0,36.0,43.0,2.0,2.0,6.0,3.0,384.0
1.0,1.0,2.0,1.0,37.0,44.0,2.0,2.0,5.0,5.0,385.0
2.0,1.0,2.0,2.0,15.0,24.0,2.0,2.0,5.0,2.0,387.0
1.0,1.0,3.0,2.0,3.0,36.0,1.0,2.0,5.0,3.0,388.0
3.0,3.0,2.0,1.0,3.0,67.0,2.0,2.0,5.0,5.0,389.0
2.0,1.0,3.0,2.0,6.0,40.0,2.0,2.0,5.0,5.0,390.0
2.0,1.0,2.0,3.0,47.0,24.0,1.0,2.0,5.0,6.0,391.0
2.0,1.0,2.0,2.0,20.0,22.0,1.0,2.0,6.0,2.0,392.0
2.0,1.0,1.0,2.0,30.0,39.0,1.0,2.0,5.0,4.0,394.0
2.0,1.0,2.0,3.0,13.0,34.0,1.0,2.0,4.0,3.0,395.0
3.0,4.0,3.0,5.0,6.0,68.0,1.0,2.0,5.0,7.0,397.0
1.0,4.0,1.0,4.0,3.0,57.0,1.0,2.0,5.0,3.0,398.0
2.0,1.0,3.0,1.0,6.0,31.0,1.0,2.0,5.0,5.0,401.0
1.0,2.0,2.0,1.0,35.0,49.0,2.0,2.0,2.0,5.0,403.0
2.0,1.0,1.0,6.0,12.0,60.0,1.0,2.0,5.0,3.0,405.0
2.0,2.0,3.0,3.0,35.0,54.0,2.0,2.0,5.0,2.0,406.0
2.0,1.0,2.0,3.0,5.0,29.0,1.0,1.0,1.0,2.0,407.0
2.0,2.0,2.0,2.0,13.0,25.0,1.0,2.0,4.0,3.0,408.0
1.0,1.0,2.0,3.0,22.0,31.0,1.0,2.0,5.0,3.0,409.0
2.0,5.0,2.0,3.0,9.0,46.0,1.0,2.0,5.0,2.0,410.0
1.0,5.0,3.0,4.0,28.0,51.0,2.0,2.0,5.0,5.0,411.0
2.0,1.0,1.0,5.0,5.0,40.0,1.0,2.0,2.0,5.0,413.0
2.0,1.0,2.0,2.0,35.0,43.0,2.0,2.0,5.0,3.0,414.0
2.0,2.0,2.0,1.0,32.0,26.0,1.0,2.0,5.0,3.0,417.0
2.0,1.0,2.0,4.0,9.0,39.0,2.0,2.0,4.0,4.0,419.0
1.0,1.0,3.0,1.0,5.0,34.0,1.0,2.0,5.0,5.0,420.0
2.0,4.0,3.0,4.0,5.0,32.0,2.0,2.0,2.0,5.0,424.0
2.0,1.0,2.0,2.0,5.0,31.0,1.0,2.0,2.0,5.0,427.0
2.0,1.0,2.0,4.0,5.0,22.0,2.0,2.0,4.0,3.0,428.0
2.0,1.0,1.0,6.0,43.0,60.0,1.0,2.0,5.0,2.0,429.0
1.0,1.0,3.0,5.0,38.0,37.0,1.0,2.0,5.0,3.0,431.0
3.0,2.0,2.0,5.0,24.0,55.0,2.0,2.0,4.0,3.0,432.0
1.0,3.0,3.0,5.0,9.0,57.0,1.0,2.0,5.0,3.0,434.0
2.0,2.0,2.0,1.0,23.0,48.0,1.0,2.0,5.0,5.0,435.0
1.0,2.0,2.0,2.0,29.0,34.0,2.0,2.0,5.0,7.0,436.0
1.0,1.0,2.0,2.0,31.0,35.0,1.0,1.0,6.0,5.0,437.0
2.0,1.0,2.0,3.0,13.0,37.0,1.0,2.0,5.0,5.0,438.0
1.0,3.0,2.0,3.0,6.0,52.0,1.0,2.0,5.0,3.0,439.0
1.0,7.0,2.0,1.0,23.0,29.0,1.0,2.0,2.0,9.0,440.0
1.0,4.0,2.0,2.0,16.0,43.0,1.0,2.0,5.0,3.0,442.0
2.0,1.0,3.0,4.0,35.0,41.0,2.0,2.0,5.0,7.0,443.0
3.0,4.0,1.0,5.0,5.0,71.0,1.0,1.0,7.0,4.0,444.0
2.0,2.0,2.0,1.0,35.0,35.0,2.0,2.0,5.0,4.0,445.0
2.0,1.0,2.0,1.0,38.0,30.0,1.0,2.0,5.0,3.0,447.0
2.0,1.0,2.0,2.0,5.0,23.0,2.0,2.0,2.0,2.0,448.0
2.0,3.0,2.0,3.0,13.0,33.0,1.0,2.0,5.0,5.0,452.0
1.0,2.0,3.0,2.0,9.0,25.0,2.0,1.0,5.0,5.0,453.0
1.0,1.0,3.0,3.0,43.0,32.0,2.0,1.0,5.0,2.0,454.0
2.0,1.0,3.0,4.0,22.0,30.0,2.0,2.0,5.0,4.0,455.0
3.0,2.0,2.0,2.0,28.0,73.0,2.0,2.0,5.0,9.0,457.0
1.0,3.0,2.0,2.0,47.0,48.0,1.0,2.0,5.0,5.0,459.0
2.0,1.0,2.0,2.0,47.0,53.0,1.0,2.0,5.0,2.0,460.0
2.0,1.0,3.0,2.0,5.0,23.0,2.0,2.0,2.0,5.0,461.0
2.0,1.0,2.0,3.0,7.0,33.0,1.0,2.0,5.0,7.0,463.0
2.0,3.0,1.0,6.0,22.0,37.0,2.0,2.0,5.0,5.0,466.0
1.0,1.0,3.0,3.0,46.0,47.0,2.0,2.0,5.0,5.0,469.0
2.0,3.0,2.0,3.0,5.0,49.0,2.0,2.0,5.0,3.0,470.0
2.0,1.0,3.0,4.0,30.0,33.0,2.0,2.0,5.0,3.0,471.0
2.0,1.0,3.0,3.0,32.0,64.0,1.0,2.0,5.0,3.0,476.0
1.0,6.0,2.0,2.0,17.0,34.0,2.0,2.0,5.0,5.0,478.0
2.0,1.0,3.0,3.0,3.0,52.0,1.0,2.0,5.0,3.0,479.0
1.0,1.0,3.0,4.0,9.0,45.0,1.0,2.0,5.0,5.0,480.0
1.0,5.0,1.0,6.0,42.0,61.0,2.0,2.0,5.0,5.0,481.0
